Index,SentenceStructure,NumIndependentClauses,NumDependentClauses,HasParticipialPhrase,HasHangingParticiple,AvgSentenceLength,SentenceLengthVariance,UsesPassiveVoice,ClauseEmbeddingDepth,TypeTokenRatio,NumIdioms,SentenceStartRepetition
0,2,20,13,1,0,23.68,177.74,1,1.0,0.59,2,1.0
1,2,19,23,1,0,26.07,144.48,1,2.0,0.6,0,0.0
2,2,16,13,1,0,29.03,197.14,1,2.0,0.62,0,0.0
3,2,14,19,1,0,26.76,148.82,1,2.0,0.66,0,0.0
4,2,33,28,1,0,22.87,237.75,1,1.0,0.57,2,1.0
5,2,22,12,1,0,18.71,91.24,1,1.0,0.63,0,1.0
6,2,25,9,1,0,19.17,63.94,1,1.0,0.57,1,1.0
7,2,13,13,1,0,25.54,95.75,1,1.0,0.67,0,1.0
8,2,27,20,1,0,26.98,188.77,1,1.0,0.57,1,1.0
9,2,5,5,1,0,27.1,114.09,1,1.0,0.56,0,0.0
10,2,15,7,1,0,20.77,32.58,1,1.0,0.69,0,1.0
11,2,14,6,1,0,17.85,57.94,1,1.0,0.64,0,1.0
12,2,11,8,0,0,21.16,83.22,1,1.0,0.61,1,1.0
13,2,15,11,1,0,18.34,40.44,1,1.0,0.65,0,1.0
14,2,8,11,1,0,30.42,1287.98,1,3.0,0.66,0,
15,2,6,6,1,0,22.0,165.2,1,2.0,0.79,0,0.0
16,2,11,12,1,0,27.87,302.05,1,3.0,0.61,0,
17,2,4,7,1,0,38.14,421.69,1,3.0,0.63,0,
18,2,18,23,1,0,26.54,336.97,1,3.0,0.64,2,
19,2,12,13,1,0,29.84,236.83,1,3.0,0.66,1,
20,2,10,12,1,0,33.35,261.65,1,3.0,0.69,0,
21,2,15,12,1,0,22.04,157.9,1,2.0,0.64,0,
22,2,11,14,1,0,27.28,182.04,1,3.0,0.65,0,
23,2,6,8,1,0,31.85,536.65,1,3.0,0.6,0,
24,2,5,8,1,0,30.46,203.19,1,3.0,0.61,0,
25,2,10,9,1,0,29.68,231.2,1,2.0,0.66,0,
26,2,5,10,0,0,26.13,65.01,1,2.0,0.65,0,
27,2,17,11,1,0,22.82,109.7,1,2.0,0.67,0,
28,3,9,4,1,0,32.55,675.38,1,2.0,0.54,0,0.0
29,3,13,10,1,0,29.29,508.11,1,3.0,0.55,2,0.0
30,3,15,9,1,0,26.08,334.8,1,2.0,0.61,0,0.0
31,3,25,13,1,0,23.05,101.53,1,2.0,0.62,0,1.0
32,3,23,11,1,0,29.71,277.89,1,2.0,0.57,0,1.0
33,3,23,16,1,0,30.38,448.3,1,3.0,0.59,1,0.0
34,3,40,31,1,0,32.66,1208.61,1,3.0,0.56,0,1.0
35,3,21,14,1,0,31.91,321.16,1,3.0,0.62,0,1.0
36,3,17,8,1,0,28.84,109.41,1,2.0,0.62,0,1.0
37,3,40,28,1,0,25.26,109.33,1,3.0,0.53,0,1.0
38,3,22,12,1,0,33.14,251.88,1,2.0,0.57,1,1.0
39,3,15,7,1,0,28.27,88.79,1,2.0,0.67,0,1.0
40,3,16,9,0,0,25.84,136.26,1,2.0,0.64,0,1.0
41,3,12,11,1,0,23.78,100.08,1,2.0,0.59,0,1.0
42,2,11,12,1,0,24.33,96.89,1,3.0,0.47,1,0.0
43,2,11,12,1,0,26.48,112.88,1,3.0,0.46,1,0.0
44,2,4,6,1,0,30.89,116.21,1,3.0,0.53,0,1.0
45,2,13,7,1,0,19.85,45.43,1,2.0,0.44,0,1.0
46,2,17,13,1,0,22.77,48.59,1,3.0,0.48,0,0.0
47,2,28,10,1,0,19.47,41.66,1,2.0,0.52,0,1.0
48,2,7,6,1,0,22.54,58.97,1,3.0,0.53,0,1.0
49,2,13,11,1,0,26.58,89.67,1,3.0,0.56,0,0.0
50,2,14,7,1,0,23.29,58.44,1,3.0,0.56,0,1.0
51,2,16,14,1,0,25.03,57.53,1,3.0,0.46,0,1.0
52,2,17,6,0,0,18.83,33.07,1,2.0,0.48,0,1.0
53,2,13,14,1,0,28.89,119.88,1,3.0,0.55,1,0.0
54,2,15,17,1,0,32.66,129.53,1,4.0,0.51,0,1.0
55,2,21,13,1,0,21.29,46.98,1,3.0,0.44,0,1.0
56,2,12,14,1,0,21.33,171.65,1,2.0,0.56,0,0.0
57,2,30,28,1,0,19.97,265.78,1,2.0,0.48,1,1.0
58,2,18,10,1,0,17.57,116.12,1,1.0,0.59,0,0.0
59,2,28,21,1,0,16.14,96.15,1,2.0,0.48,2,1.0
60,2,24,14,1,0,18.71,54.24,1,1.0,0.59,0,1.0
61,2,9,12,1,0,30.48,127.96,1,2.0,0.67,0,0.0
62,2,3,2,0,0,22.0,46.0,1,1.0,0.68,0,0.0
63,2,12,13,1,0,28.6,96.04,1,2.0,0.68,0,0.0
64,2,14,19,1,0,29.15,83.46,1,2.0,0.59,0,0.0
65,2,23,13,1,0,16.11,73.11,1,1.0,0.51,0,1.0
66,2,24,24,1,0,27.96,267.42,1,2.0,0.61,0,1.0
67,2,20,12,0,0,25.28,135.89,1,1.0,0.55,0,1.0
68,2,12,11,1,0,25.17,79.79,1,2.0,0.66,0,1.0
69,2,9,6,1,0,21.8,59.16,1,1.0,0.61,0,1.0
70,3,10,10,1,1,22.35,98.12,1,2.0,0.51,0,1.0
71,3,17,12,1,0,23.41,125.95,1,2.0,0.59,1,1.0
